Timestamp start,Timestamp end,Duration,Status,Code,Message,Comment,Service contract category,IEC category,Global contract category,Custom contract category
2022-05-18 06:27:08,-,-,Informational,100140,System test 1,,,Technical Standby,,
2022-05-18 06:27:15,-,-,Informational,100150,System test 2,,,Technical Standby,,
2022-05-18 06:27:30,-,-,Informational,100160,System test 3,,,Technical Standby,,
2022-05-18 06:27:45,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-05-18 06:30:16,-,-,Informational,100190,Mains connection,,,Full Performance,,
2022-05-18 06:30:27,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-05-18 06:30:57,-,-,Informational,100210,Mains operation,,,Full Performance,,
2022-05-18 21:25:10,2022-05-18 21:25:58,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-05-18 21:25:10,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2022-05-18 21:25:10,2022-05-18 21:25:58,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-05-18 21:25:58,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-05-18 21:25:58,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-05-18 21:25:58,2022-05-18 21:39:22,00:13:24,Informational,0,System OK,,System OK (32),Full Performance,,
2022-05-18 21:32:26,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-05-18 21:36:41,-,-,Informational,100190,Mains connection,,,Full Performance,,
2022-05-18 21:36:52,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-05-18 21:37:22,-,-,Informational,100210,Mains operation,,,Full Performance,,
2022-05-18 21:39:22,2022-05-18 21:40:10,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-05-18 21:39:22,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2022-05-18 21:39:22,2022-05-18 21:40:10,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-05-18 21:40:10,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-05-18 21:40:10,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-05-18 21:40:10,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-05-18 21:56:55,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-05-18 21:57:42,-,-,Informational,100190,Mains connection,,,Full Performance,,
