Timestamp start,Timestamp end,Duration,Status,Code,Message,Comment,Service contract category,IEC category,Global contract category,Custom contract category
2022-03-16 15:47:28,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2022-03-16 15:48:16,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-03-16 15:48:16,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-03-16 15:54:27,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-03-16 15:57:04,-,-,Informational,100190,Mains connection,,,Full Performance,,
2022-03-16 15:57:15,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-03-16 15:57:45,-,-,Informational,100210,Mains operation,,,Full Performance,,
2022-03-18 04:37:18,2022-03-18 04:38:05,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-03-18 04:37:18,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2022-03-18 04:38:05,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-03-18 04:38:05,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-03-18 05:03:35,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-03-18 05:05:59,-,-,Informational,100190,Mains connection,,,Full Performance,,
2022-03-18 05:06:10,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-03-18 05:06:40,-,-,Informational,100210,Mains operation,,,Full Performance,,
2022-03-19 09:14:06,2022-03-19 09:16:24,00:02:18,Stop,710,Battery test,,Operating states  (28),Technical Standby,13 (Int) Operating States,
2022-03-19 09:14:06,-,-,Informational,100030,Brake program 180,,,Technical Standby,,
2022-03-19 09:16:24,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-03-19 09:16:24,-,-,Informational,100110,Bypass limit switches,,,Full Performance,,
2022-03-19 09:16:29,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-03-19 09:18:30,-,-,Informational,100140,System test 1,,,Technical Standby,,
2022-03-19 09:18:38,-,-,Informational,100150,System test 2,,,Technical Standby,,
2022-03-19 09:18:53,-,-,Informational,100160,System test 3,,,Technical Standby,,
2022-03-19 09:19:08,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-03-19 09:21:16,-,-,Informational,100190,Mains connection,,,Full Performance,,
2022-03-19 09:21:27,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-03-19 09:21:57,-,-,Informational,100210,Mains operation,,,Full Performance,,
2022-03-20 13:25:01,2022-03-20 13:25:49,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-03-20 13:25:01,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2022-03-20 13:25:49,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
